Name,ID
Sarki Abdulkadir,['ur.01151331063.92']
Ash Alizadeh,"['ur.01350734042.58', 'ur.015743252105.61']"
Vineet Arora,"['ur.0715157556.43', 'ur.013113430640.74', 'ur.011030560726.50', 'ur.014736613175.67', 'ur.014621242702.28', 'ur.07366375701.95', 'ur.014365324233.20', 'ur.014067114314.28']"
Andrew Auerbach,"['ur.012611444224.52', 'ur.01071266221.30', 'ur.015005166353.24', 'ur.013532372135.43', 'ur.016370705613.19', 'ur.015401373657.32', 'ur.014116621270.69', 'ur.012057467657.83', 'ur.01316550603.31', 'ur.014005474317.25', 'ur.010354504201.10']"
Adam Bass,"['ur.010517020604.25', 'ur.01012315545.30', 'ur.0776611211.51', 'ur.01000517455.50', 'ur.014426110660.10', 'ur.013227242701.97', 'ur.014713043230.45', 'ur.01111016005.45', 'ur.010534015564.00', 'ur.015401503732.91', 'ur.014662725755.25', 'ur.01351310303.21']"
Edward Behrens,"['ur.016043042647.75', 'ur.014217023641.56', 'ur.014742005621.45', 'ur.011112113147.76', 'ur.016455011753.14', 'ur.010446365434.45', 'ur.011574150043.14', 'ur.01034215040.92', 'ur.012661132333.04', 'ur.013655342201.40', 'ur.010577762611.20']"
Rameen Beroukhim,"['ur.015072267076.61', 'ur.014622157522.19', 'ur.01310170137.53', 'ur.07663027204.88', 'ur.01150153600.23', 'ur.016254064321.17', 'ur.014271160335.81', 'ur.012315664026.73', 'ur.014022471202.12']"
Karl Bilimoria,"['ur.0667114343.30', 'ur.011214071523.16', 'ur.012322127402.10']"
Ron Bose,"['ur.015330310747.75', 'ur.013456547415.34', 'ur.01353746730.51', 'ur.01305277070.64', 'ur.011200730734.17']"
Russell Bowler,"['ur.015726605617.16', 'ur.015544262334.60', 'ur.016221665414.91', 'ur.014525337625.29']"
Nicole Calakos,['ur.0760705217.24']
Sarat Chandarlapaty,['ur.0717331640.11']
Ping Chi,"['ur.014112355626.38', 'ur.0765024434.38', 'ur.010764670213.97', 'ur.01265774411.23', 'ur.011627737271.80', 'ur.012464054472.24', 'ur.011415365305.39', 'ur.011224067451.98', 'ur.0750107347.18', 'ur.01177617335.05', 'ur.010065740707.75', 'ur.01166625673.53', 'ur.07450452213.13', 'ur.012730016141.30']"
