Name,ID
Sarki Abdulkadir,"['A5066860794', 'A5089778892', 'A5035943760', 'A5112766814', 'A5099551396']"
Ash Alizadeh,"['A5007420876', 'A5032767433']"
Vineet Arora,"['A5038649068', 'A5005082660', 'A5049096869', 'A5102461964', 'A5051552508', 'A5100106033', 'A5114228778', 'A5094607975', 'A5094607926', 'A5037079188', 'A5102707254', 'A5113981273', 'A5085002321']"
Andrew Auerbach,"['A5045146638', 'A5111240651', 'A5101417559', 'A5008611431', 'A5007217896', 'A5035140943', 'A5051070875']"
Adam Bass,"['A5079706186', 'A5054530341', 'A5035044470', 'A5046924167', 'A5001175067', 'A5063699613', 'A5019966595', 'A5038002304', 'A5039213176', 'A5113217880']"
Edward Behrens,"['A5032723566', 'A5067266858', 'A5109243802', 'A5108830810', 'A5078438726', 'A5111105240', 'A5103958677', 'A5114006739', 'A5091847681', 'A5083304548', 'A5007280326', 'A5035708524', 'A5105841414', 'A5106355753']"
Rameen Beroukhim,"['A5041980697', 'A5112504487', 'A5110664853', 'A5069852085', 'A5103945735']"
Karl Bilimoria,"['A5023012457', 'A5046056283', 'A5105857000']"
Ron Bose,"['A5001373717', 'A5004443280', 'A5056210928']"
Russell Bowler,"['A5017665414', 'A5071758925', 'A5108867633', 'A5058645384', 'A5000255819', 'A5079691242']"
Nicole Calakos,"['A5085465113', 'A5105092521']"
Sarat Chandarlapaty,['A5041961484']
Ping Chi,"['A5012215691', 'A5102863329', 'A5027346244', 'A5062645020', 'A5024217010', 'A5002017233', 'A5051704749', 'A5109420064', 'A5110202805', 'A5079233004', 'A5071209232', 'A5111624016', 'A5000774070', 'A5078846182', 'A5010663024', 'A5073648522', 'A5075764227', 'A5111522946', 'A5102796886', 'A5114804214', 'A5018814955', 'A5067917878', 'A5062314768', 'A5052823682', 'A5102903958', 'A5061574249', 'A5111871104', 'A5090317194', 'A5003489921', 'A5071391610', 'A5110254302', 'A5062211977', 'A5037570401', 'A5038306920', 'A5034681445', 'A5049718052', 'A5074496679', 'A5109450193', 'A5102148211', 'A5101645709', 'A5109717601', 'A5053323569', 'A5008589780', 'A5027162719', 'A5109962812', 'A5083676145', 'A5045613089', 'A5076411353', 'A5039121512', 'A5109098882', 'A5081342660', 'A5045755090', 'A5108531599', 'A5010495343', 'A5081647209', 'A5036190797', 'A5063605280', 'A5113768244', 'A5074985611', 'A5057217483', 'A5101506047', 'A5035140030', 'A5102160198', 'A5016906953', 'A5068937090', 'A5049625251', 'A5085157116', 'A5024578975', 'A5037869824', 'A5106692012', 'A5025448754', 'A5080384372', 'A5090076380', 'A5075758237', 'A5108449945', 'A5078664198', 'A5056216721', 'A5108364124', 'A5078070914', 'A5044056842', 'A5029000534', 'A5089313556', 'A5056232622', 'A5074898928', 'A5083824502', 'A5046033594', 'A5110499221', 'A5068350439', 'A5082645517', 'A5091221070', 'A5012806270', 'A5111942975', 'A5008324932', 'A5113596241', 'A5008195984', 'A5078964525', 'A5014709063', 'A5088403265', 'A5065994487', 'A5055527026', 'A5028670775', 'A5084539989', 'A5101392272', 'A5075427862', 'A5111610663', 'A5045247144', 'A5037730034', 'A5079574209', 'A5055235701', 'A5052440452', 'A5106691255', 'A5113813139', 'A5018765045', 'A5101080794', 'A5040721542', 'A5080504870', 'A5013377440', 'A5045638330', 'A5111714926', 'A5004861881', 'A5017287028', 'A5078643630', 'A5090518459', 'A5090578672', 'A5113749638', 'A5088315390', 'A5063274287', 'A5113550607', 'A5109550349', 'A5078475128', 'A5074753418', 'A5067820643', 'A5033228180', 'A5065045193', 'A5003724814', 'A5104071851', 'A5089103687', 'A5066512839', 'A5089284038', 'A5055813341', 'A5047269561', 'A5054633648', 'A5082337810', 'A5064906419', 'A5051762781', 'A5112024881', 'A5045443552', 'A5073455018', 'A5038562316', 'A5061390412', 'A5066932917', 'A5084697854', 'A5112587565', 'A5053563603', 'A5064760953', 'A5048527889', 'A5112559764', 'A5081337318', 'A5025856388', 'A5051840842', 'A5042572976', 'A5108500198', 'A5108226832', 'A5019371287', 'A5029478906', 'A5105423134', 'A5108381766', 'A5001194651', 'A5010009473', 'A5033616133', 'A5102672106', 'A5077364678', 'A5102165647', 'A5006952117', 'A5100895516', 'A5075644905', 'A5112823187', 'A5010229898', 'A5071517401', 'A5109552358', 'A5102233075', 'A5083964521', 'A5072486361', 'A5019589415', 'A5108635724', 'A5052716350', 'A5113250710', 'A5090596046', 'A5002648761', 'A5032824293', 'A5113742456', 'A5073767327', 'A5060858687', 'A5071412870', 'A5111239655', 'A5069801124', 'A5010377884', 'A5085124593', 'A5003075677', 'A5035533144', 'A5068142657', 'A5103942666', 'A5005819639', 'A5025847429', 'A5031071172', 'A5113812152', 'A5020856343', 'A5109386528', 'A5102624442', 'A5001497573', 'A5091492049', 'A5111908664', 'A5066304485', 'A5111553980', 'A5000836849', 'A5015321557', 'A5108870925', 'A5093852884', 'A5009778063', 'A5086829775', 'A5006558487', 'A5080412991', 'A5013095753', 'A5088605750', 'A5093947119', 'A5105922031', 'A5073857497', 'A5111476301', 'A5080168443', 'A5069923143', 'A5001786053', 'A5075049597', 'A5032051053', 'A5077626450', 'A5113260348', 'A5045992237', 'A5065064066', 'A5104230989', 'A5097387472', 'A5070146710', 'A5029676662', 'A5113822687', 'A5012274791', 'A5077175151', 'A5042723567', 'A5091778713', 'A5050212661', 'A5061015904', 'A5050282202', 'A5016186594', 'A5026623517', 'A5034115029', 'A5089712218', 'A5090947278', 'A5067051740', 'A5058311214', 'A5002782724', 'A5034058094', 'A5050492978', 'A5068571364', 'A5102696527', 'A5019754773', 'A5021385193', 'A5031531023', 'A5040952524', 'A5080263110', 'A5108212391', 'A5002445447', 'A5028259764', 'A5049933836', 'A5036012227', 'A5040276241', 'A5009572860', 'A5032824571', 'A5068500904', 'A5112520566', 'A5018162079', 'A5028880738', 'A5042881535', 'A5065791639', 'A5074056162', 'A5111308402', 'A5111166134', 'A5027678555', 'A5034367034', 'A5067765830', 'A5074623414', 'A5078618216', 'A5112697983', 'A5024350921', 'A5029943556', 'A5028995342', 'A5043625776', 'A5073392391', 'A5088273694', 'A5103915943', 'A5113705017', 'A5017055657', 'A5037859040', 'A5062762285', 'A5063311988', 'A5020183307', 'A5039692422', 'A5068118248', 'A5084279293', 'A5039775307', 'A5091472132', 'A5035188181', 'A5041957012', 'A5037975728', 'A5011002115', 'A5098551973', 'A5064136794', 'A5097002606', 'A5054911471', 'A5011089902', 'A5107721270', 'A5098604759', 'A5102615975', 'A5088990892', 'A5034360475', 'A5072806343', 'A5010578195', 'A5066426191', 'A5055507664', 'A5024052639', 'A5101801843']"
Ryan Corcoran,['A5030510204']
Peter Crompton,"['A5050452200', 'A5074040893', 'A5066525787', 'A5080414073', 'A5053310369', 'A5049299858', 'A5034342480']"
Aaron Cypess,"['A5067028169', 'A5105220016', 'A5104794645', 'A5037386517', 'A5062645354']"
Maximilian Diehn,"['A5001873561', 'A5104289455', 'A5103691833']"
Justin Dimick,"['A5069321101', 'A5113538846', 'A5108216977', 'A5052893027', 'A5097707094']"
Mark Dransfield,"['A5045141623', 'A5047323879', 'A5083359566', 'A5010565681', 'A5107075329']"
Brian Feldman,"['A5030955894', 'A5110681293', 'A5105986075', 'A5007919790', 'A5102299844', 'A5108792092', 'A5102457695', 'A5110180917', 'A5028993427', 'A5014487564', 'A5011926543', 'A5079325968', 'A5021541328', 'A5093069353', 'A5114710334', 'A5058318674', 'A5055237430']"
Ariel Feldstein,"['A5053295611', 'A5112039617', 'A5054809439', 'A5113742594', 'A5113612732']"
Martin Fernandez-Zapico,"['A5072437086', 'A5052018839', 'A5031249003', 'A5112836002']"
Alessia Fornoni,"['A5021600258', 'A5110718264', 'A5108762660', 'A5109487958', 'A5113212725', 'A5101142992']"
Terry Fry,"['A5017207916', 'A5108437611', 'A5088405262', 'A5110537537']"
Rene Galindo,"['A5065871898', 'A5014711740', 'A5025606697', 'A5054487688', 'A5111685349', 'A5070299195', 'A5088666107', 'A5100926775', 'A5012239735', 'A5049608614', 'A5001162224', 'A5012637807', 'A5006457947', 'A5000490467', 'A5026514564', 'A5022011077', 'A5057935417', 'A5092042667', 'A5102611351', 'A5058627745', 'A5062632636']"
Anupam Agarwal,"['A5066336399', 'A5061945450', 'A5077658349', 'A5109858734', 'A5030704652', 'A5090974594', 'A5103288147', 'A5062517086']"
Jayakrishna Ambati,['A5086654368']
Suneel Apte,"['A5064761253', 'A5063763669', 'A5039653093', 'A5068089316']"
Kyong-Mi Chang,"['A5038073374', 'A5113536881', 'A5062918972']"
Herbert Cohen,"['A5054409731', 'A5103382427', 'A5109991557', 'A5110563132', 'A5110186755', 'A5021855669', 'A5073560064', 'A5111978523', 'A5067363046', 'A5085181240', 'A5005447350', 'A5086180733', 'A5097941638', 'A5055767216', 'A5066840760', 'A5056983357', 'A5102343296', 'A5011242422', 'A5053666222', 'A5104846374', 'A5024219148']"
Laurence Cooper,"['A5007081796', 'A5029006010', 'A5077362143', 'A5067339495', 'A5010738427', 'A5110612413', 'A5032625965', 'A5105933489', 'A5099503669', 'A5109554586', 'A5020502697', 'A5051747610', 'A5099503721', 'A5099492241']"
George Cotsarelis,"['A5043510285', 'A5111822910']"
Kenneth Covinsky,['A5045222539']
Maurizio Del Poeta,"['A5064137145', 'A5052501908', 'A5082354773']"
Phillip Dennis,"['A5022984824', 'A5107497865', 'A5054599395', 'A5009146918', 'A5106118833', 'A5071678717', 'A5023087131', 'A5068680255', 'A5002915223', 'A5031502321', 'A5062170149', 'A5114326100', 'A5060084087', 'A5034539851', 'A5015456671', 'A5097253360', 'A5064325346']"
Michael Diamond,"['A5070153307', 'A5005306051', 'A5102805830', 'A5020983883', 'A5056497033', 'A5087373481', 'A5035309628', 'A5027074373', 'A5000309009', 'A5077682442', 'A5054745608', 'A5075480591', 'A5108380005', 'A5017110012', 'A5112889249', 'A5031091946', 'A5065474270', 'A5000333016', 'A5069853523', 'A5012036223', 'A5112731083', 'A5001950035', 'A5099455582', 'A5096948875', 'A5114485422', 'A5036875919', 'A5055164812', 'A5089569640', 'A5115585244', 'A5067421239', 'A5025840279', 'A5090339673', 'A5112811111', 'A5038687825', 'A5071898101', 'A5027936314', 'A5042313515', 'A5115774744', 'A5104040922', 'A5071048762']"
Jay Edelberg,"['A5107557360', 'A5023169167', 'A5107593402', 'A5111837185', 'A5107633703', 'A5110920330', 'A5107677874', 'A5107790492', 'A5107722046', 'A5018588718', 'A5107655608']"
David Engman,"['A5047332247', 'A5009418494']"
Daniel Fowler,"['A5074220802', 'A5025677254', 'A5053363121', 'A5055199218', 'A5015124845', 'A5047359105', 'A5033901618', 'A5042535663', 'A5036841043', 'A5051766484', 'A5053091619', 'A5112211418', 'A5075474574', 'A5061500632', 'A5001952347']"
Vance Fowler,"['A5045500368', 'A5111591273', 'A5016225188', 'A5108835869', 'A5088331636', 'A5108785557']"
John Frangioni,"['A5113720653', 'A5098248844', 'A5063886271']"
Bin Gao,"['A5049519363', 'A5100757015', 'A5008633924', 'A5101870054', 'A5035182816', 'A5015817857', 'A5100462449', 'A5004355908', 'A5024427902', 'A5100757012', 'A5013277492', 'A5003993055', 'A5085036036', 'A5019891190', 'A5071637061', 'A5101736815', 'A5003606386', 'A5040940904', 'A5000290451', 'A5073017831', 'A5101638187', 'A5100757016', 'A5071398995', 'A5078729478', 'A5108081395', 'A5020641535', 'A5017435398', 'A5101564652', 'A5100634509', 'A5033365661', 'A5019829348', 'A5049561482', 'A5087417056', 'A5109516799', 'A5038119125', 'A5113641424', 'A5022967503', 'A5100734402', 'A5110201543', 'A5060626290', 'A5026537366', 'A5028101406', 'A5108697651', 'A5101579058', 'A5101589980', 'A5017269545', 'A5103367420', 'A5101482572', 'A5019319907', 'A5111932255', 'A5110657033', 'A5101594002', 'A5102310660', 'A5035344721', 'A5006352803', 'A5078318885', 'A5067648073', 'A5101579057', 'A5038488918', 'A5100462995', 'A5101842426', 'A5102217534', 'A5015217257', 'A5058289407', 'A5063101827', 'A5075057955', 'A5110532661', 'A5112533935', 'A5100898516', 'A5101445060', 'A5101937589', 'A5100816230', 'A5004363345', 'A5087047048', 'A5085536799', 'A5102715605', 'A5103403789', 'A5059197614', 'A5101730800', 'A5080147538', 'A5041644210', 'A5109247700', 'A5025191215', 'A5110373314', 'A5100518516', 'A5016203857', 'A5060933495', 'A5047429226', 'A5103935173', 'A5042934889', 'A5102489695', 'A5112664830', 'A5075651489', 'A5062571440', 'A5012454955', 'A5037557170', 'A5001289565', 'A5111256624', 'A5076732578', 'A5056545327', 'A5055459520', 'A5072192156', 'A5100683069', 'A5113734701', 'A5101937591', 'A5053853100', 'A5101758509', 'A5047017811', 'A5101639219', 'A5054447793', 'A5100849030', 'A5100757014', 'A5071935536', 'A5043777226', 'A5112115772', 'A5053852861', 'A5055636977', 'A5033858779', 'A5052697294', 'A5104011300', 'A5104141766', 'A5004062192', 'A5067460419', 'A5048840583', 'A5037584569', 'A5044114658', 'A5110263544', 'A5032030502', 'A5003200287', 'A5112126038', 'A5001886361', 'A5010519147', 'A5111958223', 'A5113523811', 'A5105369250', 'A5102745091', 'A5069662421', 'A5022263920', 'A5100915163', 'A5039992639', 'A5083091277', 'A5103971291', 'A5088549444', 'A5066829401', 'A5017190440', 'A5102942556', 'A5046240204', 'A5101147409', 'A5082341188', 'A5058406707', 'A5005195764', 'A5108242354', 'A5074778245', 'A5007594118', 'A5047880504', 'A5103357281', 'A5080381220', 'A5109511506', 'A5004157082', 'A5066266943', 'A5032503950', 'A5101529812', 'A5110689531', 'A5031431319', 'A5044992896', 'A5084528379', 'A5087760587', 'A5074456795', 'A5037016338', 'A5101529811', 'A5103484000', 'A5078136802', 'A5103055138', 'A5031200211', 'A5106657763', 'A5085501186', 'A5003404564', 'A5103979986', 'A5005649880', 'A5083503270', 'A5087650552', 'A5059805884', 'A5103072437', 'A5109890733', 'A5058220633', 'A5073676368', 'A5045514601', 'A5101621680', 'A5088392393', 'A5029460465', 'A5010821259', 'A5018742447', 'A5014964024', 'A5089519930', 'A5101529810', 'A5002235264', 'A5022895296', 'A5074585130', 'A5048625175', 'A5111273944', 'A5101118704', 'A5101719940', 'A5076435557', 'A5102761994', 'A5087290789', 'A5103470492', 'A5093659471', 'A5019918012', 'A5072515144', 'A5001140586', 'A5053871813', 'A5068086995', 'A5078580276', 'A5085248773', 'A5113409015', 'A5037014095', 'A5111505283', 'A5085802302', 'A5030401463', 'A5031009738', 'A5029048331', 'A5013237370', 'A5111217711', 'A5045285812', 'A5112745256', 'A5080442129', 'A5102049212', 'A5103541328', 'A5037630951', 'A5005463818', 'A5036630194', 'A5100835107', 'A5012327194', 'A5103657143', 'A5057402509', 'A5075161998', 'A5028760372', 'A5112534970', 'A5112690917', 'A5030648942', 'A5021458134', 'A5103252781', 'A5104346536', 'A5110509933', 'A5102268115', 'A5033474311', 'A5048477142', 'A5014102842', 'A5023164710', 'A5080151745', 'A5072994666', 'A5087783712', 'A5102685560', 'A5109139270', 'A5025433022', 'A5005537067', 'A5088848675', 'A5032884624', 'A5077316701', 'A5076331357', 'A5085939813', 'A5017907096', 'A5030173581', 'A5055276683', 'A5100977923', 'A5008246533', 'A5065505632', 'A5009880573', 'A5110670655', 'A5011629721', 'A5089964913', 'A5044937612', 'A5040614224', 'A5087092704', 'A5035595635', 'A5007504540', 'A5080763023', 'A5006973791', 'A5047189466', 'A5022479771', 'A5109375369', 'A5098386099', 'A5040209787', 'A5016313834', 'A5028092828', 'A5044149367', 'A5004004775', 'A5008812717', 'A5083854344', 'A5103662483', 'A5104247100', 'A5035652041', 'A5097162390', 'A5011396050', 'A5088503403', 'A5082412824', 'A5051150519', 'A5096895897', 'A5045479104', 'A5112447354', 'A5019460613', 'A5009712529', 'A5109538818', 'A5102244671', 'A5115487731', 'A5051962828', 'A5115596986', 'A5107699639', 'A5104881201', 'A5111273208', 'A5025521915', 'A5026170940', 'A5037839515', 'A5104295837', 'A5111734609', 'A5101306678', 'A5111808256', 'A5033851551', 'A5072517086', 'A5101216276', 'A5112792223', 'A5013755754', 'A5031222876', 'A5014214487', 'A5113321493', 'A5052714588', 'A5093981563', 'A5066606869', 'A5070007747', 'A5090020090', 'A5066718593', 'A5056415486', 'A5064748153', 'A5058741151', 'A5073830419', 'A5043946642', 'A5006007777', 'A5036563560', 'A5108643643', 'A5047975683', 'A5102200826', 'A5057708514', 'A5102207858', 'A5028921317', 'A5060138650', 'A5011546670', 'A5067496022', 'A5067214967', 'A5043108916', 'A5030738477', 'A5087331649', 'A5052650348', 'A5062408518', 'A5070676895', 'A5090636281', 'A5054353095', 'A5062565085', 'A5064779847', 'A5082317340', 'A5012465734', 'A5055320345', 'A5065026273', 'A5022174434', 'A5002547526', 'A5015923536', 'A5034164640', 'A5061549082', 'A5073189316', 'A5073319080', 'A5003267888', 'A5009918534', 'A5081268820', 'A5001448050', 'A5058849755', 'A5090913393', 'A5102096545', 'A5072930676', 'A5059267874', 'A5072563655', 'A5054124155', 'A5018433746', 'A5024533768', 'A5003399453', 'A5033703352', 'A5045272500', 'A5046886449', 'A5081073435', 'A5080924154', 'A5046714758', 'A5006945017', 'A5039480286', 'A5066879377', 'A5004140594', 'A5037113264', 'A5070423581', 'A5086975313', 'A5091476284', 'A5103899915', 'A5067863567', 'A5055354073', 'A5060870569', 'A5063602071', 'A5022767486', 'A5034131421', 'A5046245817', 'A5058689154', 'A5069922581', 'A5070622187', 'A5083021442', 'A5099787897', 'A5002625614', 'A5033913945', 'A5089904593', 'A5113051416', 'A5062492921', 'A5060958614', 'A5044895203', 'A5083844644', 'A5040946753', 'A5023348220', 'A5081873965']"
Michael Glickman,"['A5073166748', 'A5003025827', 'A5105774260', 'A5062265003', 'A5008672180', 'A5108288455', 'A5101899127', 'A5006292204', 'A5028171947']"
Stephen Hammes,['A5039728337']
Hal Hoffman,"['A5021968451', 'A5039433878', 'A5111574804', 'A5020084332']"
Sam Hwang,"['A5110236145', 'A5070109176', 'A5080489944', 'A5090971152', 'A5079443631', 'A5053999126', 'A5032265881', 'A5085653817', 'A5072081584', 'A5045346465', 'A5103609931', 'A5081642560', 'A5085967131', 'A5110176208', 'A5028727263', 'A5047735623', 'A5110338847', 'A5109968186', 'A5102255331', 'A5082416714', 'A5109189040', 'A5110308038', 'A5084681818', 'A5113215232', 'A5031348970', 'A5016305670', 'A5087945927', 'A5023000861', 'A5058214819', 'A5110258798', 'A5015950693', 'A5109278423', 'A5023340617', 'A5025958385', 'A5052029653', 'A5110250772', 'A5108796113', 'A5109495900', 'A5040608898', 'A5037428412', 'A5004757392', 'A5017685397', 'A5115874890', 'A5098157433', 'A5061802747', 'A5112831588', 'A5110777397', 'A5033347795', 'A5095999360', 'A5016065686', 'A5103854120', 'A5114155014', 'A5048768677', 'A5100911614', 'A5053702951', 'A5016916319', 'A5042410840', 'A5063553808', 'A5000914754', 'A5041574606', 'A5000479749', 'A5033637717']"
S. Karumanchi,"['A5030159705', 'A5079292151', 'A5110128328', 'A5076227461', 'A5013574638', 'A5034267486', 'A5001292656', 'A5005681527', 'A5103390792', 'A5112252531', 'A5037868530', 'A5025354480', 'A5026786570']"
Douglas Kerr,"['A5004732387', 'A5103538432', 'A5073257558', 'A5033502986', 'A5067501142', 'A5046063093', 'A5069925562', 'A5111975207', 'A5085875631', 'A5000968416', 'A5029718560', 'A5087750815', 'A5018766711', 'A5090626145', 'A5033582770', 'A5046462793', 'A5016586099', 'A5047287902', 'A5022035113', 'A5064927312', 'A5046839410', 'A5060024001', 'A5102480423', 'A5095453452', 'A5043824657', 'A5064193102', 'A5065648552', 'A5032521067', 'A5004039561', 'A5009195126', 'A5113916230']"
Tejvir Khurana,"['A5016142795', 'A5102806689', 'A5110197228', 'A5104534629', 'A5006697058']"
Fadlo Khuri,"['A5059710197', 'A5072950726']"
