From,To,Type,Strenght
Baylor College of Medicine,"Aagaard, Kjersti (M.)",Institution-Associate,10
Baylor College of Medicine,"Baker, Carol",Institution-Associate,10
Baylor College of Medicine,"Ballantyne, Christie (M.)",Institution-Associate,10
Baylor College of Medicine,"Belmont, John",Institution-Associate,10
Baylor College of Medicine,"Bertuch, Alison (A.)",Institution-Associate,10
Baylor College of Medicine,"Bier, Dennis (M.)",Institution-Associate,10
Baylor College of Medicine,"Bollard, Catherine (M.)",Institution-Associate,10
Baylor College of Medicine,"Chan, Lawrence (C.B.)",Institution-Associate,10
Baylor College of Medicine,"Corry, David (B.)",Institution-Associate,10
Baylor College of Medicine,"Couch, Robert (B.)",Institution-Associate,10
Baylor College of Medicine,"El-Serag, Hashem (B.)",Institution-Associate,10
Baylor College of Medicine,"Entman, Mark (L.)",Institution-Associate,10
Baylor College of Medicine,"Gabbay, Kenneth (H.)",Institution-Associate,10
Baylor College of Medicine,"Haymond, Morey",Institution-Associate,10
Baylor College of Medicine,"Kanwal, Fasiha",Institution-Associate,10
Baylor College of Medicine,"Kheradmand, Farrah",Institution-Associate,10
Baylor College of Medicine,"Klotman, Paul (E.)",Institution-Associate,10
Baylor College of Medicine,"Lee, Brendan",Institution-Associate,10
Baylor College of Medicine,"Lupski, James (R.)",Institution-Associate,10
Baylor College of Medicine,"Marcus, Donald (M.)",Institution-Associate,10
Baylor College of Medicine,"Metelitsa, Leonid",Institution-Associate,10
Baylor College of Medicine,"Mills, Jason",Institution-Associate,10
Baylor College of Medicine,"Mitch, William (E.)",Institution-Associate,10
Baylor College of Medicine,"Mitchell, Jerry (R.)",Institution-Associate,10
Baylor College of Medicine,"Mitsiades, Nicholas",Institution-Associate,10
Baylor College of Medicine,"Musher, Daniel (M.)",Institution-Associate,10
Baylor College of Medicine,"O'Malley, Bert (W.)",Institution-Associate,10
Baylor College of Medicine,"Poplack, David (G.)",Institution-Associate,10
Baylor College of Medicine,"Rosas, Ivan (O.)",Institution-Associate,10
Baylor College of Medicine,"Sellin, Joseph (H.)",Institution-Associate,10
Baylor College of Medicine,"Shneider, Benjamin",Institution-Associate,10
Baylor College of Medicine,"Stein, Jay (H.)",Institution-Associate,10
Baylor College of Medicine,"Suki, Wadi (N.)",Institution-Associate,10
Baylor College of Medicine,"Thiagarajan, Perumal",Institution-Associate,10
Baylor College of Medicine,"Todd, Robert (F.)",Institution-Associate,10
Baylor College of Medicine,"Wehrens, Xander",Institution-Associate,10
Baylor College of Medicine,"Winkelmayer, Wolfgang (C.)",Institution-Associate,10
Case Western Reserve University School of Medicine,"Abbott, Derek (W.)",Institution-Associate,10
Case Western Reserve University School of Medicine,"Berger, Melvin",Institution-Associate,10
Case Western Reserve University School of Medicine,"Berger, Nathan",Institution-Associate,10
Case Western Reserve University School of Medicine,"Cominelli, Fabio",Institution-Associate,10
Case Western Reserve University School of Medicine,"Cooper, Kevin (D.)",Institution-Associate,10
Case Western Reserve University School of Medicine,"Distelhorst, Clark (W.)",Institution-Associate,10
Case Western Reserve University School of Medicine,"Donahue, J. (Kevin)",Institution-Associate,10
Case Western Reserve University School of Medicine,"Eng, Charis",Institution-Associate,10
Case Western Reserve University School of Medicine,"Field, Seth",Institution-Associate,10
Case Western Reserve University School of Medicine,"Gerson, Stanton (L.)",Institution-Associate,10
Case Western Reserve University School of Medicine,"Hoppel, Charles (L.)",Institution-Associate,10
Case Western Reserve University School of Medicine,"Jain, Mukesh (K.)",Institution-Associate,10
Case Western Reserve University School of Medicine,"Kazura, James (W.)",Institution-Associate,10
Case Western Reserve University School of Medicine,"Markowitz, Sanford",Institution-Associate,10
Case Western Reserve University School of Medicine,"Markowitz, Sanford",Institution-Associate,10
Case Western Reserve University School of Medicine,"Rajagopalan, Sanjay",Institution-Associate,10
Case Western Reserve University School of Medicine,"Schmaier, Alvin (H.)",Institution-Associate,10
Case Western Reserve University School of Medicine,"Simon, Daniel (I.)",Institution-Associate,10
Case Western Reserve University School of Medicine,"Stamler, Jonathan (S.)",Institution-Associate,10
Case Western Reserve University School of Medicine,"Strohl, Kingman (P.)",Institution-Associate,10
Case Western Reserve University School of Medicine,"Waldo, Albert (L.)",Institution-Associate,10
Case Western Reserve University School of Medicine,"Walsh, Richard (A.)",Institution-Associate,10
Case Western Reserve University School of Medicine,"Wynshaw-Boris, Anthony (J.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Abdel-Wahab, Omar",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Adusumilli, Prasad (S.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Bach, Peter (B.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Brentjens, Renier (J.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Chan, Timothy (A.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Chandarlapaty, Sarat",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Chen, Yu",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Cheng, Emily (H.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Chi, Ping",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Clarkson, Bayard (D.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Diaz, Jr.",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Dupont, Bo",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Fagin, James (A.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Glickman, Michael (S.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Grimm, Jan",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Hanash, Alan (M.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Hohl, Tobias (M.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Houghton, Alan (N.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Hsu, Katharine (C.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Hyman, David",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Iacobuzio-Donahue, Christine (A.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Kentsis, Alex",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Kolesnick, Richard",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Kung, Andrew",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Landgren, Ola (C.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Levine, Ross (L.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Lito, Piro",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Mellinghoff, Ingo (Kai)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Offit, Kenneth",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Pamer, Eric",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Rudin, Charles (M.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Sadelain, Michel",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Sawyers, Charles (L.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Scheinberg, David (A.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Solit, David",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Strauss, Harry (William)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Studer, Lorenz",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Tabar, Viviane",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Tap, William",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Thompson, Craig",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Wendel, Hans-Guido",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"White, Richard (Mark)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"Wolchok, Jedd (D.)",Institution-Associate,10
Memorial Sloan Kettering Cancer Center,"van den Brink, Marcel (R.M.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Abdulkadir, Sarki (A.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Ardehali, Hossein",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Arora, Rishi (K.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Batlle, Daniel",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Baumann, Gerhard (P.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Bharat, Ankit",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Bilimoria, Karl",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Bochner, Bruce (S.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Bonow, Robert (O.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Brat, Daniel (J.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Budinger, G.R. (Scott)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Bulun, Serdar (E.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Choi, Jaehyuk",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Engman, David (M.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"George Jr., Alfred (L.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Heimberger, MD",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Ji, Peng",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Kahrilas, Peter (J.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Klocke, Francis (J.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Koralnik, Igor (J.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Krensky, Alan (M.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Landsberg, Lewis",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Lesniak, Maciej (S.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Lloyd-Jones, Donald (M.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"McDermott, Mary",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"McNally, Elizabeth (M.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Munshi, Hidayatullah (G.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Neilson, Eric (Grant)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Opal, Puneet",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Pandolfino, John (Erik)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Pope, Richard (M.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Quaggin, Susan (E.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Robertson, Gary (L.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Schnitzer, Thomas (J.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Vaughan, Douglas (E.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Wolinsky, Steven (M.)",Institution-Associate,10
Northwestern University Feinberg School of Medicine,"Wu, Jane",Institution-Associate,10
University of Iowa Carver College of Medicine,"Abel, E. (Dale)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Adams, Christopher (M.)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Ashman, Robert (F.)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Cowdery, John (S)",Institution-Associate,10
University of Iowa Carver College of Medicine,"DeGowin, Richard (L.)",Institution-Associate,10
University of Iowa Carver College of Medicine,"DiBona, Gerald (F.)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Field, Elizabeth (H.)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Field, F. (Jeffrey)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Fingert, John (Harrison)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Haynes, William",Institution-Associate,10
University of Iowa Carver College of Medicine,"Huang, Chou-Long",Institution-Associate,10
University of Iowa Carver College of Medicine,"Irani, Kaikobad",Institution-Associate,10
University of Iowa Carver College of Medicine,"Kusner, David",Institution-Associate,10
University of Iowa Carver College of Medicine,"Lentz, Steven (R.)",Institution-Associate,10
University of Iowa Carver College of Medicine,"London, Barry",Institution-Associate,10
University of Iowa Carver College of Medicine,"Mark, Allyn (L.)",Institution-Associate,10
University of Iowa Carver College of Medicine,"McCray Jr., Paul (B.)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Nauseef, William (M.)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Perencevich, Eli (N.)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Shasby, D. (Michael)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Snyder, Peter (M.)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Stoltz, David (A.)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Stone, Edwin (M.)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Welsh, Michael (J.)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Wemmie, John",Institution-Associate,10
University of Iowa Carver College of Medicine,"Wilson, Mary (E.)",Institution-Associate,10
University of Iowa Carver College of Medicine,"Zabner, Joseph",Institution-Associate,10
University of Utah School of Medicine,"Abel, E. (Dale)",Institution-Associate,10
University of Utah School of Medicine,"Ambati, Balamurali",Institution-Associate,10
University of Utah School of Medicine,"Baringer, J. (Richard)",Institution-Associate,10
University of Utah School of Medicine,"Barry, William (H.)",Institution-Associate,10
University of Utah School of Medicine,"Capecchi, Mario (Renato)",Institution-Associate,10
University of Utah School of Medicine,"Gleich, Gerald (J.)",Institution-Associate,10
University of Utah School of Medicine,"Grossman, Douglas",Institution-Associate,10
University of Utah School of Medicine,"Hibbs, John (B.)",Institution-Associate,10
University of Utah School of Medicine,"Jensen, Peter (E.)",Institution-Associate,10
University of Utah School of Medicine,"Jones, Kevin (B.)",Institution-Associate,10
University of Utah School of Medicine,"Knowlton, Kirk (U.)",Institution-Associate,10
University of Utah School of Medicine,"Kohan, Donald (E.)",Institution-Associate,10
University of Utah School of Medicine,"Lee, G. (Richard)",Institution-Associate,10
University of Utah School of Medicine,"Leppert, Mark (F.)",Institution-Associate,10
University of Utah School of Medicine,"Li, Dean (Yaw)",Institution-Associate,10
University of Utah School of Medicine,"Parker, Charles (J.)",Institution-Associate,10
University of Utah School of Medicine,"Shaw, Robin (M.)",Institution-Associate,10
University of Utah School of Medicine,"Sontheimer, Richard (D.)",Institution-Associate,10
University of Utah School of Medicine,"Topham, Matthew",Institution-Associate,10
University of Utah School of Medicine,"Zimmerman, Guy (A.)",Institution-Associate,10
Duke University School of Medicine,"Abernethy, Amy (P.)",Institution-Associate,10
Duke University School of Medicine,"Al-Khatib, Sana (M.)",Institution-Associate,10
Duke University School of Medicine,"Alexander, John",Institution-Associate,10
Duke University School of Medicine,"Alspaugh, Andrew",Institution-Associate,10
Duke University School of Medicine,"Andrews, Nancy (C.)",Institution-Associate,10
Duke University School of Medicine,"Arcasoy, Murat (O.)",Institution-Associate,10
Duke University School of Medicine,"Benjamin, Daniel (K.)",Institution-Associate,10
Duke University School of Medicine,"Bennett, Vann",Institution-Associate,10
Duke University School of Medicine,"Blackshear, Perry (J.)",Institution-Associate,10
Duke University School of Medicine,"Blobe, Gerard (C.)",Institution-Associate,10
Duke University School of Medicine,"Boulware, Ebony",Institution-Associate,10
Duke University School of Medicine,"Calakos, Nicole",Institution-Associate,10
