year,first_name,middle_name,last_name,affiliation,original specialization,modified specializationmemoriam,email_affiliation,related_aff,umbrella_spec,,full_name
1969,Thomas,N,James,[],[],[],"['ASCI', 'AAP']",[],[],,thomas n james
1969,Simon,,Karpatkin,[],[],[],"['ASCI', 'AAP']",[],[],,simon karpatkin
1969,Philip,W.,Majerus,[],[],[],"['ASCI', 'AAP']",[],[],,philip w. majerus
1969,Ralph,L.,Nachman,['Weill Cornell Medical College'],"['Oncology', 'Hematology', 'Administration']",['Hematology'],"['ASCI', 'AAP']",[],[],,ralph l. nachman
1969,Yale,,Nemerson,[],[],[],"['ASCI', 'AAP']",[],[],,yale nemerson
1969,Andrew,G.,Wallace,['Dartmouth Geisel School of Medicine'],"['Administration', 'Cardiology']",['Cardiology'],"['ASCI', 'AAP']",[],[],,andrew g. wallace
1970,Paul,J.,Cannon,[],[],[],"['ASCI', 'AAP']",[],[],,paul j. cannon
1970,Arthur,Z.,Eisen,[],[],[],"['ASCI', 'AAP']",[],[],,arthur z. eisen
1970,Barry,L.,Fanburg,['Tufts University School of Medicine'],"['Pulmonology', 'Cell Biology', 'Critical Care Medicine']","['Pulmonology', 'Critical Care Medicine']","['ASCI', 'AAP']",['Tuft University Affiliates*'],"['Tufts Medical Center', 'Tufts University School of Medicine']",,barry l. fanburg
1970,Peter,T,Macklem,[],[],[],"['ASCI', 'AAP']",[],[],,peter t macklem
1970,Stephen,E.,Malawista,[],[],[],"['ASCI', 'AAP']",[],[],,stephen e. malawista
1970,Bert,W.,O'Malley,['Baylor College of Medicine'],"['Cell Biology', 'Molecular Biology']",[],"['ASCI', 'AAP']",[],[],,bert w. o'malley
1970,Joseph,S,Pagano,[],[],[],"['ASCI', 'AAP']",[],[],,joseph s pagano
1970,Dorothea,,Zucker-Franklin,[],[],[],"['ASCI', 'AAP']",[],[],,dorothea zucker-franklin
1970,Nathan,J.,Zvaifler,[],[],[],"['ASCI', 'AAP']",[],[],,nathan j. zvaifler
1971,Robert,L.,Baehner,['University of Southern California Keck School of Medicine'],"['Pediatrics', 'Cell Biology', 'Hematology']","['Pediatrics', 'Hematology']","['ASCI', 'AAP']",[],[],,robert l. baehner
1971,Paul,P.,Carbone,[],[],[],"['ASCI', 'AAP']",[],[],,paul p. carbone
1971,Theodore,C.,Eickhoff,[],[],[],"['ASCI', 'AAP']",[],[],,theodore c. eickhoff
1971,Eugene,D.,Jacobson,[],['Gastroenterology'],['Gastroenterology'],"['ASCI', 'AAP']",[],[],,eugene d. jacobson
1971,Ronald,L.,Nagel,[],[],[],"['ASCI', 'AAP']",[],[],,ronald l. nagel
1972,J.,Donald,Capra,[],[],[],"['ASCI', 'AAP']",[],[],,j. donald capra
1972,Shirley,,Ebbe,"['University of California, Berkeley']",['Hematology'],['Hematology'],"['ASCI', 'AAP']",[],[],,shirley ebbe
1972,Philip,,Felig,[],[],[],"['ASCI', 'AAP']",[],[],,philip felig
1972,Robert,,Gallo,['University of Maryland School of Medicine'],"['Virology', 'HIV', 'Immunology', 'Vaccines']",[],"['ASCI', 'AAP']",[],[],,robert gallo
1972,Marshall,M.,Kaplan,[],[],[],"['ASCI', 'AAP']",[],[],,marshall m. kaplan
1973,Siamak,A.,Adibi,[],[],[],"['ASCI', 'AAP']",[],[],,siamak a. adibi
1973,Bernard,M.,Babior,[],[],[],"['ASCI', 'AAP']",[],[],,bernard m. babior
1973,Glenn,A.,Langer,[],[],[],"['ASCI', 'AAP']",[],[],,glenn a. langer
1973,William,W,Parmley,[],['Cardiology'],['Cardiology'],"['ASCI', 'AAP']",[],[],,william w parmley
1973,Lester,B.,Salans,['Icahn School of Medicine at Mount Sinai'],"['Administration', 'Internal Medicine', 'Endocrinology', 'Metabolism']","['Internal Medicine', 'Endocrinology', 'Metabolism']","['ASCI', 'AAP']",['Mount Sinai Affiliates*'],"['Mount Sinai Hospital, Toronto', 'Icahn School of Medicine at Mount Sinai', 'Mount Sinai Beth Israel', 'Samuel Lunenfeld Research Institute of Mount Sinai Hospital']",,lester b. salans
1973,Peter,A.,Ward,['University of Michigan Medical School'],"['Immunology', 'Pathology']",['Pathology'],"['ASCI', 'AAP']",[],[],,peter a. ward
1974,Thomas,S.,Edgington,[],[],[],"['ASCI', 'AAP']",[],[],,thomas s. edgington
1974,Andrew,H.,Kang,"['University of Tennessee, Memphis College of Medicine']","['Internal Medicine', 'Immunology', 'Biochemistry', 'Rheumatology']","['Internal Medicine', 'Rheumatology']","['ASCI', 'AAP']",['University of Tennessee Affiliates*'],"['University of Tennessee Health Science Center', 'University of Tennessee, Graduate School of Medicine', 'University of Tennessee, Memphis College of Medicine']",,andrew h. kang
1974,P.,Reed,Larsen,"[""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School']",['Endocrinology'],['Endocrinology'],"['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,p. reed larsen
1974,Robert,K.,Ockner,"['University of California, San Francisco, School of Medicine']","['Metabolism', 'Biochemistry', 'Gastroenterology', 'Hepatology', 'Cell Biology', 'Neurobiology', 'Internal Medicine', 'Molecular Biology', 'Oncology', 'Physiology']","['Metabolism', 'Gastroenterology', 'Hepatology', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,robert k. ockner
1974,Stephen,F.,Vatner,"['Rutgers, The State University of New Jersey']","['Cardiovascular Disease', 'Cardiology']","['Cardiovascular Disease', 'Cardiology']","['ASCI', 'AAP']",['Rutgers University Affiliates*'],"['Rutgers, New Jersey Medical School', 'Rutgers, Robert Wood Johnson Medical School', 'Rutgers, The State University of New Jersey']",,stephen f. vatner
1975,John,W.,Adamson,"['VAMC San Diego', 'University of California, San Diego, School of Medicine']","['Internal Medicine', 'Cell Biology', 'Bone marrow transplantation', 'Hematology']","['Internal Medicine', 'Bone marrow transplantation', 'Hematology']","['ASCI', 'AAP']",['VAMC Affiliates*'],"['VAMC Bedford, MA', 'VAMC Denver', 'VAMC Memphis', 'VAMC Miami', 'VAMC Minneapolis', 'VAMC San Diego', 'VAMC San Francisco', 'VAMC Seattle', 'VAMC Tucson', 'Veterans Administration Medical Center (Pittsburgh)', 'Veterans Health Administration']",,john w. adamson
1975,Jerry,D.,Gardner,[],"['Neurobiology', 'Drug Development', 'Gastroenterology', 'Pharmacology', 'Cell Biology', 'Health services research', 'Administration', 'Informatics', 'Endocrinology', 'Biochemistry', 'Gene Transfer/Gene Therapy', 'Molecular Biology', 'Hepatology']","['Gastroenterology', 'Informatics', 'Endocrinology', 'Hepatology']","['ASCI', 'AAP']",[],[],,jerry d. gardner
1975,Thomas,D.,Gelehrter,['University of Michigan Medical School'],"['Cell Biology', 'Genetics', 'Endocrinology', 'Internal Medicine', 'Biochemistry', 'Molecular Biology']","['Genetics', 'Endocrinology', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,thomas d. gelehrter
1975,Rex,L.,Jamison,['Stanford University School of Medicine'],"['Health services research', 'Physiology', 'Cell Biology', 'Nephrology']",['Nephrology'],"['ASCI', 'AAP']",['Stanford University Affiliates*'],"['Stanford University School of Medicine', 'Stanford, Institute for Stem Cell Biology and Regenerative Medicine']",,rex l. jamison
1975,Yuet,Wai,Kan,"['University of California, San Francisco, School of Medicine']","['Hematology', 'Genetics']","['Hematology', 'Genetics']","['ASCI', 'AAP']",[],[],,yuet wai kan
1975,Allen,P.,Kaplan,['Medical University of South Carolina College of Medicine'],"['Rheumatology', 'Allergy', 'Internal Medicine']","['Rheumatology', 'Allergy', 'Internal Medicine']","['ASCI', 'AAP']",[],[],,allen p. kaplan
1975,Gerald,L.,Mandell,['University of Virginia Medical Center'],"['Infectious Disease', 'Immunology']",['Infectious Disease'],"['ASCI', 'AAP']",['University of Virginia Affiliates*'],"['University of Virginia Medical Center', 'University of Virginia School of Medicine']",,gerald l. mandell
1975,Judith,L.,Vaitukaitis,[],[],[],"['ASCI', 'AAP']",[],[],,judith l. vaitukaitis
1975,Peter,N.,Walsh,[],[],[],"['ASCI', 'AAP']",[],[],,peter n. walsh
1976,George,P.,Canellos,"['Harvard Medical School', 'Harvard Medical School, Dana-Farber Cancer Institute', ""Harvard Medical School, Brigham & Women's Hospital""]","['Hematology', 'Internal Medicine', 'Oncology']","['Hematology', 'Internal Medicine']","['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,george p. canellos
1976,Anthony,S.,Fauci,['National Institutes of Health'],"['Immunology', 'Allergy', 'Internal Medicine', 'Infectious Disease']","['Allergy', 'Internal Medicine', 'Infectious Disease']","['ASCI', 'AAP']",[],[],,anthony s. fauci
1976,Joel,F.,Habener,"['Harvard Medical School, Massachusetts General Hospital']","['Molecular Biology', 'Genetics', 'Developmental Biology', 'Diabetes', 'Endocrinology', 'Cell Biology']","['Genetics', 'Diabetes', 'Endocrinology']","['ASCI', 'AAP']",['Harvard University Affiliates*'],"['Broad Institute of Harvard and M.I.T.', 'Harvard Medical School', 'Harvard Medical School, Beth Israel Deaconess Medical Center', ""Harvard Medical School, Boston Children's Hospital"", ""Harvard Medical School, Brigham & Women's Hospital"", 'Harvard Medical School, Center For Blood Research', 'Harvard Medical School, Dana-Farber Cancer Institute', 'Harvard Medical School, Joslin Diabetes Center', 'Harvard Medical School, Massachusetts General Hospital', 'Harvard School of Public Health', 'Mount Auburn Hospital', 'Mass General Brigham']",,joel f. habener
1976,Jon,I,Isenberg,[],[],[],"['ASCI', 'AAP']",[],[],,jon i isenberg
1976,Leonard,,Jarett,[],[],[],"['ASCI', 'AAP']",[],[],,leonard jarett
1976,John,P.,Kane,"['University of California, San Francisco, School of Medicine']","['Administration', 'Metabolism', 'Genetics', 'Internal Medicine', 'Biochemistry', 'Endocrinology', 'Cardiovascular Disease']","['Metabolism', 'Genetics', 'Internal Medicine', 'Endocrinology', 'Cardiovascular Disease']","['ASCI', 'AAP']",[],[],,john p. kane
1977,Robert,J.,Bache,['University of Minnesota Medical School'],"['Physiology', 'Cardiology', 'Molecular Biology']",['Cardiology'],"['ASCI', 'AAP']",[],[],,robert j. bache
